id,prompt,intent,entity,type,digit
1,Kode KBJI buat pekerjaan marketing apa?,cari kode,marketing,KBJI,null
2,Apakah ada kode KBJI untuk pekerjaan sebagai penjelajah laut dalam?,cari kode,penjelajah laut dalam,KBJI,null
3,Apakah bisa hidup sehat tanpa olahraga?,lainnya,null,null,null
4,"assistant: <MSG>...penjelasan panjang...</MSG>
user: <MSG>Terima kasih, sangat membantu</MSG>",lainnya,null,null,null
5,Bagaimana cara kerja panel surya?,lainnya,null,null,null
6,KBJI dan KBLI itu apaan?,lainnya,null,semua,null
7,Tanggal Proklamasi Indonesia merdeka kapan?,lainnya,null,null,null
8,Apa saja yang dicakup oleh kode KBJI 8322?,jelaskan kode,8322,KBJI,4
9,Apa saja pekerjaan yang termasuk dalam KBJI 6543 di dunia virtual?,jelaskan kode,6543,KBJI,4
10,Kode KBJI 7213 itu untuk pekerjaan apa saja?,jelaskan kode,7213,KBJI,4
11,Apa manfaat yoga untuk kesehatan?,lainnya,null,null,null
12,Apa penyebab global warming?,lainnya,null,null,null
13,Kode KBJI 3114 mencakup pekerjaan apa?,jelaskan kode,3114,KBJI,4
14,Kode KBLI buat usaha e-commerce apa ya?,cari kode,usaha e-commerce,KBLI,null
15,Apakah ada kode KBJI untuk peternak sapi?,cari kode,peternak sapi,KBJI,null
16,apa itu kbji dalam bisnis?,lainnya,null,KBJI,null
17,Cara membasmi serangga di rumah gimana?,lainnya,null,null,null
18,Kode KBLI untuk usaha pengiriman antariksa apa?,cari kode,pengiriman antariksa,KBLI,null
19,Kode KBLI buat usaha catering gimana ya?,cari kode,usaha catering,KBLI,null
20,Kode KBLI buat usaha apotek gimana ya?,cari kode,usaha apotek,KBLI,null
21,Film komedi terbaik sepanjang masa apa aja?,lainnya,null,null,null
22,Kode KBLI buat usaha rental motor gimana?,cari kode,usaha rental motor,KBLI,null
23,Usaha makanan perlu kode KBLI nggak ya?,lainnya,null,KBLI,null
24,Kode KBLI untuk usaha penyewaan bintang apa?,cari kode,penyewaan bintang,KBLI,null
25,Kode KBLI buat usaha toko buku gimana?,cari kode,usaha toko buku,KBLI,null
26,Bagaimana cara memilih sepeda yang baik?,lainnya,null,null,null
27,"Gue punya usaha katering, gimana caranya tau kode KBLI yang pas?",lainnya,null,KBLI,null
28,Bagaimana cara membuat serum keabadian?,lainnya,null,null,null
29,Apa perbedaan antara KBJI dan KBLI dan mengapa harus tahu?,lainnya,null,semua,null
30,Jelaskan kode KBLI 53201 untuk pengiriman,jelaskan kode,53201,KBLI,5
31,Apa saja pekerjaan dalam kode KBJI 6112?,jelaskan kode,6112,KBJI,4
32,Kode KBLI untuk perdagangan besar bahan bakar minyak apa?,cari kode,perdagangan bahan bakar minyak,KBLI,null
33,Kode KBLI buat usaha pertambangan itu berapa digit?,cari kode,usaha pertambangan,KBLI,5
34,Kode KBJI buat pekerjaan asisten rumah tangga?,cari kode,asisten rumah tangga,KBJI,null
35,Siapa yang ngerumuskan KBJI dan KBLI?,lainnya,null,semua,null
36,Apa saja yang dicakup oleh kode KBJI 5311?,jelaskan kode,5311,KBJI,4
37,"assistant: <MSG>...penjelasan rinci...</MSG>
user: <MSG>Terima kasih</MSG",lainnya,null,null,null
38,Apa saja yang dicakup oleh kode KBJI 5412?,jelaskan kode,5412,KBJI,4
39,Jelaskan kode KBLI 45201 secara detail,jelaskan kode,45201,KBLI,5
40,Tips aman berbelanja online gimana?,lainnya,null,null,null
41,Bagaimana cara merawat ikan koi?,lainnya,null,null,null
42,Apa saja pekerjaan yang masuk dalam KBJI 9001 di Mars?,jelaskan kode,9001 di Mars,KBJI,4
43,"Untuk usaha periklanan, kode KBLI-nya apa?",cari kode,usaha periklanan,KBLI,null
44,Kode KBJI 4211 mencakup pekerjaan apa?,jelaskan kode,4211,KBJI,4
45,Jelaskan kode KBLI 86909 untuk kesehatan,jelaskan kode,86909,KBLI,5
46,Jenis pekerjaan apa yang nggak masuk KBJI?,lainnya,null,KBJI,null
47,Resep pancake fluffy gimana ya?,lainnya,null,null,null
48,Apakah ada kode KBJI untuk pekerjaan sebagai arsitek virtual reality?,cari kode,arsitek virtual reality,KBJI,null
49,Kode KBLI buat usaha ternak ikan gimana?,cari kode,usaha ternak ikan,KBLI,null
50,"Untuk usaha konsultan IT, kodenya apa di KBLI?",cari kode,usaha konsultan IT,KBLI,null
51,Gimana cara bikin soto ayam enak?,lainnya,null,null,null
52,Detail lengkap kode KBLI 95291 apa saja?,jelaskan kode,95291,KBLI,5
53,Apa itu cryptocurrency?,lainnya,null,null,null
54,Gimana tau usaha perlu KBJI atau nggak?,lainnya,null,KBJI,null
55,KBLI ada di undang-undang nggak sih?,lainnya,null,KBJI,null
56,Kode KBJI 4212 mencakup pekerjaan apa?,jelaskan kode,4212,KBJI,4
57,"assistant: <MSG>...penjelasan rinci...</MSG>
user: <MSG>Sangat membantu</MSG>",lainnya,null,null,null
58,Kode KBJI buat pekerjaan pembuat perhiasan?,cari kode,pembuat perhiasan,KBJI,null
59,Kode KBLI untuk usaha pencetakan 3D organ manusia apa?,cari kode,pencetakan 3D organ manusia,KBLI,null
60,"assistant: <MSG>...penjelasan kode kbli buat toko online... </MSG>
user: <MSG>kode 5 digitnya dong</MSG>",cari kode,toko online,KBLI,5
61,Bagaimana cara memelihara fauna dari planet lain?,lainnya,null,null,null
62,Kode KBJI buat pekerjaan desainer interior?,cari kode,desainer interior,KBJI,null
63,Bagaimana cara membuat mesin waktu?,lainnya,null,null,null
64,Apa kode KBLI untuk usaha jual beli planet?,cari kode,jual beli planet,KBLI,null
65,Kode KBJI buat pekerjaan teknisi jaringan?,cari kode,teknisi jaringan,KBJI,null
66,Kode KBLI buat usaha rental alat camping?,cari kode,usaha rental alat camping,KBLI,null
67,KBJI itu gunanya buat apa sih?,lainnya,null,KBJI,null
68,Pemenang Piala Dunia 2022 siapa?,lainnya,null,null,null
69,Jenis pekerjaan apa yang tidak masuk dalam KBJI?,lainnya,null,KBJI,null
70,Profesi yang masuk kode KBJI 5321 itu apa aja?,jelaskan kode,5321,KBJI,4
71,Apakah KBJI ada dalam peraturan pemerintah?,lainnya,null,KBJI,null
72,Rekomendasi buku self-help terbaik?,lainnya,null,null,null
73,Kode KBJI 1234 itu buat profesi apa sih?,jelaskan kode,1234,KBJI,4
74,Kode KBJI buat pekerjaan dosen ada nggak?,cari kode,dosen,KBJI,null
75,"Kalau mau hire akuntan, ada nggak kode KBJI buat itu?",cari kode,akuntan,KBJI,null
76,Cara memperbaiki mesin mobil yang rusak?,lainnya,null,null,null
77,Apakah ada kode KBJI untuk pekerjaan sebagai penjelajah waktu?,cari kode,penjelajah waktu,KBJI,null
78,Kode KBJI buat pekerjaan makeup artist?,cari kode,makeup artist,KBJI,null
79,Apa itu kode KBJI untuk pemburu hantu?,cari kode,pemburu hantu,KBJI,null
80,Cara menyeduh teh yang benar gimana?,lainnya,null,null,null
81,Kode KBLI buat usaha salon mobil gimana?,cari kode,usaha salon mobil,KBLI,null
82,Jelaskan kode KBLI 68100 untuk properti,jelaskan kode,68100,KBLI,5
83,Jelaskan kode KBLI 80100 untuk keamanan,jelaskan kode,80100,KBLI,5
84,Apa saja pekerjaan dalam kode KBJI 3112?,jelaskan kode,3112,KBJI,4
85,Bagaimana cara menghilangkan noda di baju?,lainnya,null,null,null
86,Apa saja pekerjaan yang termasuk dalam KBJI 54321 di dimensi waktu?,jelaskan kode,54321,KBJI,4
87,Apa manfaat lari pagi setiap hari?,lainnya,null,null,null
